Site,Date_time,CO2.uM,Flux
D,26/10/2021 15:45,12.17595626,-3.315667711
D,26/10/2021 16:00,11.94694141,-3.494428338
D,26/10/2021 16:15,12.80366654,-2.919793103
D,26/10/2021 16:30,11.84243031,-3.670102955
D,26/10/2021 16:45,10.18571806,-3.685812745
D,26/10/2021 17:00,10.35894456,-3.550607469
D,26/10/2021 17:15,12.3594057,-3.285516324
D,26/10/2021 17:30,11.24282388,-4.157084874
D,26/10/2021 17:45,10.14475137,-4.209337755
D,26/10/2021 18:00,9.06168183,-5.054709454
D,26/10/2021 18:15,9.623064332,-4.59596914
D,26/10/2021 18:30,9.11848418,-4.989810232
D,26/10/2021 18:45,10.11158275,-4.461553025
D,26/10/2021 19:00,10.66312363,-4.031051608
D,26/10/2021 19:15,10.02857432,-3.71585636
D,26/10/2021 19:30,9.685129996,-3.983917219
D,26/10/2021 19:45,9.585687665,-4.914546288
D,26/10/2021 20:00,9.880631901,-4.684329044
D,26/10/2021 20:15,9.125245499,-4.636682229
D,26/10/2021 20:30,8.565843476,-5.073305016
D,26/10/2021 20:45,9.566563686,-4.5414544
D,26/10/2021 21:00,9.602259819,-4.513592571
D,26/10/2021 21:15,10.62408008,-3.743109301
D,26/10/2021 21:30,11.05333584,-3.408062707
D,26/10/2021 21:45,11.18327457,-3.409037269
D,26/10/2021 22:00,10.82252378,-3.690615368
D,26/10/2021 22:15,10.77122212,-3.876336992
D,26/10/2021 22:30,10.04096977,-4.446328151
D,26/10/2021 22:45,10.67533249,-4.049834911
D,26/10/2021 23:00,10.30721758,-4.337164917
D,26/10/2021 23:15,10.19395348,-4.554249879
D,26/10/2021 23:30,10.78922084,-4.089613954
D,26/10/2021 23:45,11.44603953,-3.685763965
D,27/10/2021,12.91503492,-2.539132724
D,27/10/2021 0:15,13.21991707,-2.341427257
D,27/10/2021 0:30,13.22466163,-2.337723863
D,27/10/2021 0:45,13.90909287,-1.94788935
D,27/10/2021 1:00,13.68399717,-2.12359067
D,27/10/2021 1:15,14.07381894,-1.932139158
D,27/10/2021 1:30,13.72993204,-2.200566162
D,27/10/2021 1:45,13.29227844,-2.602994012
D,27/10/2021 2:00,12.98030759,-2.846509219
D,27/10/2021 2:15,13.23195343,-2.745988946
D,27/10/2021 2:30,12.96211583,-2.956617321
D,27/10/2021 2:45,12.9158291,-3.144568171
D,27/10/2021 3:00,14.05960026,-2.251761818
D,27/10/2021 3:15,12.97046217,-3.196706927
D,27/10/2021 3:30,12.73094821,-3.383668044
D,27/10/2021 3:45,12.6400869,-3.526370713
D,27/10/2021 4:00,12.91869016,-3.30889617
D,27/10/2021 4:15,13.75433935,-2.7330068
D,27/10/2021 4:30,14.917689,-1.824905472
D,27/10/2021 4:45,14.97605294,-1.832010549
D,27/10/2021 5:00,14.93758245,-1.862040389
D,27/10/2021 5:15,15.35068257,-1.584384768
D,27/10/2021 5:30,15.51118569,-1.459096651
D,27/10/2021 5:45,15.69107905,-1.404848337
D,27/10/2021 6:00,16.29417292,-0.934073321
D,27/10/2021 6:15,16.54584987,-0.845470489
D,27/10/2021 6:30,17.4864219,-0.111255649
D,27/10/2021 6:45,18.16680314,0.369636833
D,27/10/2021 7:00,18.98561292,1.008805241
D,27/10/2021 7:15,19.42628524,1.302303105
D,27/10/2021 7:30,20.2063106,1.91119782
D,27/10/2021 7:45,19.96969321,1.747565015
D,27/10/2021 8:00,19.88833494,1.684056102
D,27/10/2021 8:15,19.69193031,1.610374155
D,27/10/2021 8:30,20.10012405,1.929012001
D,27/10/2021 8:45,19.31011903,1.407796342
D,27/10/2021 9:00,18.74172575,0.964108385
D,27/10/2021 9:15,18.21767703,0.702443802
D,27/10/2021 9:30,18.22076394,0.704853426
D,27/10/2021 9:45,17.539354,0.29393669
D,27/10/2021 10:00,17.90203912,0.577044548
D,27/10/2021 10:15,17.36096556,0.293748862
D,27/10/2021 10:30,17.04973109,0.050804693
D,27/10/2021 10:45,16.45872423,-0.223397083
D,27/10/2021 11:00,16.34982177,-0.308403543
D,27/10/2021 11:15,16.2601331,-0.153943378
D,27/10/2021 11:30,15.23488829,-0.954213018
D,27/10/2021 11:45,13.27915464,-2.013892242
D,27/10/2021 12:00,12.95144207,-2.269686336
D,27/10/2021 12:15,12.28667351,-2.641127715
D,27/10/2021 12:30,11.70403117,-3.095901974
D,27/10/2021 12:45,11.2064609,-3.187506355
D,27/10/2021 13:00,10.67804478,-3.599948141
D,27/10/2021 13:15,9.871290194,-4.074016581
D,27/10/2021 13:30,9.174848761,-4.617601538
D,27/10/2021 13:45,9.311807122,-4.374340995
D,27/10/2021 14:00,9.315998274,-4.371069751
D,27/10/2021 14:15,8.135521399,-5.098821117
D,27/10/2021 14:30,8.207006411,-5.043026823
D,27/10/2021 14:45,8.208570357,-4.856336687
D,27/10/2021 15:00,8.21070638,-4.854669532
D,27/10/2021 15:15,7.762572634,-5.092455917
D,27/10/2021 15:30,7.265235741,-5.480622549
D,27/10/2021 15:45,7.298443977,-5.403853212
D,27/10/2021 16:00,7.53134581,-5.222076106
D,27/10/2021 16:15,7.303236314,-5.559895281
D,27/10/2021 16:30,7.068072665,-5.743439363
D,27/10/2021 16:45,7.010846261,-5.437304842
D,27/10/2021 17:00,7.172883666,-5.310837936
D,27/10/2021 17:15,7.362513846,-5.658442275
D,27/10/2021 17:30,7.122915474,-5.845449163
D,27/10/2021 17:45,7.183326449,-5.320095631
D,27/10/2021 18:00,7.018453105,-5.448776056
D,27/10/2021 18:15,7.161239862,-5.507959825
D,27/10/2021 18:30,6.830247843,-5.766295117
D,27/10/2021 18:45,7.227370531,-5.609965147
D,27/10/2021 19:00,6.889834568,-5.873410188
D,27/10/2021 19:15,6.629937251,-6.091504067
D,27/10/2021 19:30,6.966830871,-5.828560142
D,27/10/2021 19:45,6.871268889,-5.967539911
D,27/10/2021 20:00,6.939313342,-5.914431335
D,27/10/2021 20:15,7.508641603,-5.460836584
D,27/10/2021 20:30,7.576135381,-5.408157839
D,27/10/2021 20:45,7.940880213,-5.210139937
D,27/10/2021 21:00,8.41877292,-4.837143918
D,27/10/2021 21:15,8.40792622,-4.923889445
D,27/10/2021 21:30,8.273469356,-5.028833703
D,27/10/2021 21:45,8.515046496,-4.935356473
D,27/10/2021 22:00,9.351119282,-4.282793987
D,27/10/2021 22:15,9.888394645,-3.966244288
D,27/10/2021 22:30,9.85829245,-3.989739463
D,27/10/2021 22:45,10.10294872,-3.8801074
D,27/10/2021 23:00,9.752982362,-4.153262171
D,27/10/2021 23:15,10.03671099,-4.017344066
D,27/10/2021 23:30,10.5702816,-3.600881006
D,27/10/2021 23:45,11.16649581,-3.242155327
D,28/10/2021,10.70122515,-3.605311006
D,28/10/2021 0:15,11.01474771,-3.46875721
D,28/10/2021 0:30,11.51999618,-3.07439543
D,28/10/2021 0:45,11.18432239,-3.442656718
D,28/10/2021 1:00,12.20965467,-2.642348953
D,28/10/2021 1:15,11.76587093,-3.019862215
D,28/10/2021 1:30,11.43666704,-3.276817834
D,28/10/2021 1:45,11.20157598,-3.522942408
D,28/10/2021 2:00,10.94569826,-3.72266499
D,28/10/2021 2:15,11.53871586,-3.344082345
D,28/10/2021 2:30,11.32158733,-3.513560472
D,28/10/2021 2:45,11.51149358,-3.450533642
D,28/10/2021 3:00,11.77428045,-3.24541624
D,28/10/2021 3:15,12.15846164,-2.995671297
D,28/10/2021 3:30,13.13047961,-2.236963861
D,28/10/2021 3:45,14.22228164,-1.456911903
D,28/10/2021 4:00,14.49045655,-1.247587481
D,28/10/2021 4:15,15.54976082,-0.48623777
D,28/10/2021 4:30,15.51192685,-0.515769251
D,28/10/2021 4:45,16.22549558,-0.021132396
D,28/10/2021 5:00,15.6555133,-0.466036286
D,28/10/2021 5:15,16.06261737,-0.229662235
D,28/10/2021 5:30,15.48895246,-0.677442683
D,28/10/2021 5:45,16.70472855,0.215583373
D,28/10/2021 6:00,17.28075368,0.665207496
D,28/10/2021 6:15,16.50507328,-0.00037415
D,28/10/2021 6:30,16.92926909,0.330738696
