Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall,Pressure
1/10/2021,,,7.2,1007
2/10/2021,,,36.2,1006.3
3/10/2021,,,,1006.4
4/10/2021,,,2,1005.7
5/10/2021,,,1.8,1013.8
6/10/2021,,,0,1017.1
7/10/2021,,,0,1011.6
8/10/2021,,,0,1018.5
9/10/2021,,,0,1014.8
10/10/2021,,,2,1010.7
11/10/2021,,,0.2,1017
12/10/2021,,,0,1015.5
13/10/2021,,,0,1011.5
14/10/2021,,,9.6,1006.9
15/10/2021,,,20.8,1003.8
16/10/2021,,,0,1011
17/10/2021,,,0,1016.2
18/10/2021,,,0,1014.8
19/10/2021,,,0,1019.4
20/10/2021,,,0,1019.8
21/10/2021,,,0,1016.1
22/10/2021,,,0,1014.9
23/10/2021,,,0.2,1013
24/10/2021,,,0,1020.7
25/10/2021,,,0,1020.3
26/10/2021,,,0,1020.6
27/10/2021,,,0,1016.8
28/10/2021,,,0,1012.2
29/10/2021,,,0.2,1008.6
30/10/2021,,,0,1021.4
31/10/2021,,,0,1026.4
1/11/2021,,,0,1023.9
2/11/2021,,,0,1023.2
3/11/2021,,,0,1019.9
4/11/2021,,,14.2,1020
5/11/2021,,,0,1017.6
6/11/2021,,,0,1011.2
7/11/2021,,,0,1007.8
8/11/2021,,,0,1010.9
9/11/2021,,,0,1012.2
10/11/2021,,,0,1006.3
11/11/2021,,,0,1007.1
12/11/2021,,,7.6,994.8
13/11/2021,,,13,1000.9
14/11/2021,,,0,1010.5
15/11/2021,,,0.6,1012.8
16/11/2021,,,0.2,1018.7
17/11/2021,,,0,1022.8
18/11/2021,,,0,1017.6
19/11/2021,,,0,1012.2
20/11/2021,,,1,1012.5
21/11/2021,,,0,1015.2
22/11/2021,,,0,1020
23/11/2021,,,0,1017.2
24/11/2021,,,6.6,1013.6
25/11/2021,,,0,
26/11/2021,,,3,
27/11/2021,,,0,
28/11/2021,,,0,
29/11/2021,,,0,
30/11/2021,,,0,
1/12/2021,,,0,
2/12/2021,,,4.2,
3/12/2021,,,1.6,
4/12/2021,,,0,
5/12/2021,,,0,
6/12/2021,,,0,
7/12/2021,,,1.2,
8/12/2021,,,0,
9/12/2021,,,0,
10/12/2021,,,0,
11/12/2021,,,0,
12/12/2021,,,0,
13/12/2021,,,0,
14/12/2021,,,0,
15/12/2021,,,0,
16/12/2021,,,1.2,
17/12/2021,,,0,
