Date,Days since start,Minimum temperature (°C),Maximum temperature (°C),Rainfall
1/10/2021,-12.00,9.1,17,4.6
2/10/2021,-11.00,13.2,21,15
3/10/2021,-10.00,9.4,22.6,0
4/10/2021,-9.00,8.8,20.8,0
5/10/2021,-8.00,9.1,19.1,0
6/10/2021,-7.00,3.8,23.1,0
7/10/2021,-6.00,12.3,19.6,0
8/10/2021,-5.00,3.8,23.1,0
9/10/2021,-4.00,7.5,29.5,0
10/10/2021,-3.00,12.5,20.4,0
11/10/2021,-2.00,6.6,18.7,0
12/10/2021,-1.00,7,18.6,0
13/10/2021,0.00,9.4,23.3,0
14/10/2021,1.00,8.3,22.6,5
15/10/2021,2.00,7.7,18.7,1.2
16/10/2021,3.00,8,20.5,3.4
17/10/2021,4.00,3.9,22.4,0
18/10/2021,5.00,5.6,27.4,0
19/10/2021,6.00,9.1,22.2,1.4
20/10/2021,7.00,6.3,25.6,0
21/10/2021,8.00,13.7,24.8,0
22/10/2021,9.00,11,29.5,0
23/10/2021,10.00,17,26.5,0
24/10/2021,11.00,7.7,21.8,0
25/10/2021,12.00,5.2,21.5,0
26/10/2021,13.00,2.4,25.1,0
27/10/2021,14.00,6.1,31.1,0
28/10/2021,15.00,14.7,30.2,0
29/10/2021,16.00,14.9,23.2,0
30/10/2021,17.00,6.7,19.9,0
31/10/2021,18.00,3.1,23.7,0
1/11/2021,19.00,9.6,28,0
2/11/2021,20.00,12.3,31.8,0
3/11/2021,21.00,18.7,25.7,0
4/11/2021,22.00,16.9,26.9,7.2
5/11/2021,23.00,17.1,26.5,0.2
6/11/2021,24.00,16,31.4,0
7/11/2021,25.00,15.2,29.4,0.2
8/11/2021,26.00,12,26.5,0.2
9/11/2021,27.00,11,27.7,0
10/11/2021,28.00,18,27.8,0
11/11/2021,29.00,10,21.8,0
12/11/2021,30.00,12.4,13.7,13.2
13/11/2021,31.00,9.8,18.3,8.8
14/11/2021,32.00,5.7,17.8,4.8
15/11/2021,33.00,7.3,18.5,4.2
16/11/2021,34.00,9.4,20.2,0
17/11/2021,35.00,8.2,25.2,0
18/11/2021,36.00,9.3,29.7,0
19/11/2021,37.00,20.3,27.7,0
20/11/2021,38.00,15.5,19.1,2.4
21/11/2021,39.00,10.1,24.8,3.4
22/11/2021,40.00,12.1,27.9,0
23/11/2021,41.00,15.3,26.4,0
24/11/2021,42.00,18.7,,0.2
25/11/2021,43.00,18.8,23,16.2
26/11/2021,44.00,14.7,16.9,7.6
27/11/2021,45.00,13,23.1,15.4
28/11/2021,46.00,10.8,25.8,0
29/11/2021,47.00,13.4,28.5,0
30/11/2021,48.00,18.4,31.3,0
1/12/2021,49.00,,,31
2/12/2021,50.00,,,0
3/12/2021,51.00,,,1.8
4/12/2021,52.00,,,0
5/12/2021,53.00,,,0
6/12/2021,54.00,,,0
7/12/2021,55.00,,,3.8
8/12/2021,56.00,,,0.2
9/12/2021,57.00,,,0
10/12/2021,58.00,,,0
11/12/2021,59.00,,,0
12/12/2021,60.00,,,0
13/12/2021,61.00,,,0
14/12/2021,62.00,,,0
15/12/2021,63.00,,,0
16/12/2021,64.00,,,0
17/12/2021,65.00,,,0
18/12/2021,66.00,,,0
19/12/2021,67.00,,,1.4
20/12/2021,68.00,,,2.4
21/12/2021,69.00,,,0
22/12/2021,70.00,,,0
23/12/2021,71.00,,,0
24/12/2021,72.00,,,0
25/12/2021,73.00,,,0
26/12/2021,74.00,,,0
27/12/2021,75.00,,,0
28/12/2021,76.00,,,0
29/12/2021,77.00,,,0
30/12/2021,78.00,,,0
31/12/2021,79.00,,,0
1/01/2022,80.00,,,0
2/01/2022,81.00,,,0
3/01/2022,82.00,,,0
4/01/2022,83.00,,,0
5/01/2022,84.00,,,0
6/01/2022,85.00,,,10
7/01/2022,86.00,,,54.8
8/01/2022,87.00,,,1.8
9/01/2022,88.00,,,0
10/01/2022,89.00,,,0
11/01/2022,90.00,,,9.8
12/01/2022,91.00,,,12.4
13/01/2022,92.00,,,0
14/01/2022,93.00,,,22
15/01/2022,94.00,,,29.4
16/01/2022,95.00,,,0
17/01/2022,96.00,,,0
18/01/2022,97.00,,,0.4
19/01/2022,98.00,,,0.2
20/01/2022,99.00,,,0
21/01/2022,100.00,,,0
22/01/2022,101.00,,,0
23/01/2022,102.00,,,0
24/01/2022,103.00,,,0
25/01/2022,104.00,,,0
26/01/2022,105.00,,,1
27/01/2022,106.00,,,0
28/01/2022,107.00,,,0
29/01/2022,108.00,,,10.2
30/01/2022,109.00,,,0
31/01/2022,110.00,,,20
1/02/2022,111.00,,,0
2/02/2022,112.00,,,1
3/02/2022,113.00,,,0
4/02/2022,114.00,,,0
5/02/2022,115.00,,,0
6/02/2022,116.00,,,0
7/02/2022,117.00,,,0
8/02/2022,118.00,,,0
9/02/2022,119.00,,,0
10/02/2022,120.00,,,0.8
11/02/2022,121.00,,,0
12/02/2022,122.00,,,0
13/02/2022,123.00,,,0
14/02/2022,124.00,,,0
15/02/2022,125.00,,,0
16/02/2022,126.00,,,0
17/02/2022,127.00,,,0
18/02/2022,128.00,,,0
19/02/2022,129.00,,,0
20/02/2022,130.00,,,0
21/02/2022,131.00,,,0
22/02/2022,132.00,,,0
23/02/2022,133.00,,,0
24/02/2022,134.00,,,0
25/02/2022,135.00,,,0.4
26/02/2022,136.00,,,0
27/02/2022,137.00,,,0
28/02/2022,138.00,,,0
1/03/2022,139.00,,,5.4
2/03/2022,140.00,,,23.4
3/03/2022,141.00,,,0
4/03/2022,142.00,,,0
5/03/2022,143.00,,,0
6/03/2022,144.00,,,2.6
7/03/2022,145.00,,,0
8/03/2022,146.00,,,0
9/03/2022,147.00,,,0.8
10/03/2022,148.00,,,0
11/03/2022,149.00,,,0
12/03/2022,150.00,,,0
13/03/2022,151.00,,,9.8
14/03/2022,152.00,,,7.2
15/03/2022,153.00,,,0
16/03/2022,154.00,,,3.8
17/03/2022,155.00,,,0
18/03/2022,156.00,,,0
19/03/2022,157.00,,,0
20/03/2022,158.00,,,0
21/03/2022,159.00,,,0
22/03/2022,160.00,,,0
23/03/2022,161.00,,,0
24/03/2022,162.00,,,0
25/03/2022,163.00,,,0
26/03/2022,164.00,,,0
27/03/2022,165.00,,,0
28/03/2022,166.00,,,0
29/03/2022,167.00,,,0
30/03/2022,168.00,,,0
31/03/2022,169.00,,,0
1/04/2022,170.00,,,0
2/04/2022,171.00,,,0
3/04/2022,172.00,,,0
4/04/2022,173.00,,,0
5/04/2022,174.00,,,0
6/04/2022,175.00,,,0
7/04/2022,176.00,,,0
8/04/2022,177.00,,,21.8
9/04/2022,178.00,,,6.2
10/04/2022,179.00,,,0
11/04/2022,180.00,,,0
12/04/2022,181.00,,,0
13/04/2022,182.00,,,0
14/04/2022,183.00,,,0
15/04/2022,184.00,,,0
16/04/2022,185.00,,,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
