Date,Temp_min,Temp_max,Temp_range,Temp_mean,pH_min,pH_max,pH_range,pH_mean,EC_min,EC_max,EC_range,EC_mean,DO_min,DO_max,DO_range,DO_mean,Site,CO2_min,CO2_max,CO2_range
26/10/2021,17.81,19.465,1.655,18.54675,7.569627068,7.738539734,0.168912666,7.649633401,256.05,259.87,3.82,258.199375,35.167,58.082,22.915,46.2975,D,8.565843476,12.80366654,4.237823065
11/11/2021,19.804,21.41,1.606,20.59112,7.935151533,8.498729265,0.563577733,8.210997666,247.35,284.92,37.57,272.3564,64.726,95.094,30.368,84.41524,D,21.28784442,52.64885238,31.36100796
12/11/2021,17.927,19.674,1.747,18.68241667,7.908582244,8.262239445,0.353657201,8.043231678,278.13,284.91,6.78,281.0604167,46.015,79.137,33.122,59.737625,D,27.56947939,37.18573703,9.616257636
13/11/2021,15.68,17.867,2.187,16.41345833,7.978071313,8.545836379,0.567765067,8.251331979,272.17,286.15,13.98,280.1841667,53.619,77.559,23.94,64.23027083,D,26.05903738,42.67234948,16.6133121
14/11/2021,14.666,17.19,2.524,15.74525,7.952067091,8.508837536,0.556770445,8.152884364,270.29,290.67,20.38,282.3785417,0.8302,72.098,71.2678,29.07617917,D,32.27842637,41.18349278,8.905066412
15/11/2021,14.613,16.995,2.382,15.85470833,7.999369404,8.43052967,0.431160266,8.190455498,272.01,289.89,17.88,281.383125,0.056,62.753,62.697,23.84697083,D,33.06210508,43.78939001,10.72728494
16/11/2021,15.212,21.672,6.46,17.84245833,7.987482649,8.400500694,0.413018045,8.123934966,266.2,296.27,30.07,283.914375,NA,NA,NA,NA,D,37.99960064,50.34652463,12.34692399
17/11/2021,17.015,22.695,5.68,19.20525,8.013422961,8.462258473,0.448835512,8.155260267,266.11,299.13,33.02,286.7722917,NA,NA,NA,NA,D,35.93267564,47.75224977,11.81957413
18/11/2021,18.794,21.617,2.823,20.47616667,8.057441585,8.383303008,0.325861423,8.211310568,286.94,303.26,16.32,296.659375,NA,NA,NA,NA,D,35.06655541,48.06166429,12.99510888
19/11/2021,19.612,22.729,3.117,20.61782979,8.156587276,8.659934876,0.5033476,8.340696017,290.6,306.46,15.86,300.0540426,NA,NA,NA,NA,D,33.84004505,47.92137352,14.08132847
20/11/2021,19.509,21.055,1.546,20.10420833,8.151404743,8.483287854,0.331883112,8.281326182,301.36,308.34,6.98,302.9810417,NA,NA,NA,NA,D,41.59128968,62.6825557,21.09126602
21/11/2021,18.201,22.509,4.308,20.06902083,8.200688433,8.685841411,0.485152979,8.361307733,295.76,317.1,21.34,307.069375,NA,NA,NA,NA,D,39.68118996,68.97308756,29.2918976
22/11/2021,18.382,23.287,4.905,20.63533333,8.225120301,8.710620879,0.485500578,8.397358035,301.01,318.16,17.15,309.8835417,NA,NA,NA,NA,D,22.2767608,70.81436505,48.53760426
23/11/2021,19.018,21.716,2.698,20.3011875,8.302691903,8.733943725,0.431251822,8.400533336,310.37,319.93,9.56,315.1164583,NA,NA,NA,NA,D,45.9041038,76.0687475,30.1646437
24/11/2021,20.167,22.366,2.199,21.1038125,8.281453326,8.737427415,0.455974089,8.391021137,311,319.8,8.8,315.9308333,NA,NA,NA,NA,D,49.69472558,86.41885884,36.72413327
25/11/2021,20.963,22.74,1.777,21.72479167,8.280206304,8.617594216,0.337387912,8.347104772,298.61,316.55,17.94,309.7066667,NA,NA,NA,NA,D,53.03100545,100.3854904,47.35448497
26/11/2021,18.431,21.953,3.522,20.12,8.356585772,9.153438751,0.796852979,8.779361323,293.65,312.06,18.41,303.1210417,NA,NA,NA,NA,D,53.53743547,78.48708824,24.94965277
27/11/2021,17.59,21.396,3.806,19.41922917,8.373521862,8.873339907,0.499818045,8.465772041,284.23,301.49,17.26,293.479375,NA,NA,NA,NA,D,21.16637179,62.35413677,41.18776498
28/11/2021,17.988,23.398,5.41,20.60147917,8.391944708,9.065401909,0.673457201,8.475372342,282.56,308.65,26.09,297.745,NA,NA,NA,NA,D,7.57890791,47.20838837,39.62948046
29/11/2021,19.671,24.95,5.279,21.49445833,8.428224176,8.700503065,0.27227889,8.490897643,287.18,311.5,24.32,300.1591667,NA,NA,NA,NA,D,7.375905125,38.39000154,31.01409642
30/11/2021,22.034,27.618,5.584,24.182,7.963584628,8.875822116,0.912237488,8.585292975,291.21,316.31,25.1,302.4006522,NA,NA,NA,NA,D,5.615042743,33.53653313,27.92149039
4/12/2021,23.422,26.384,2.962,24.85944681,7.739595047,7.938437111,0.198842064,7.83835592,312.37,331.34,18.97,323.4151064,11.808,35.95,24.142,22.00810638,D,14.61295988,35.35448361,20.74152372
5/12/2021,21.107,26.509,5.402,23.35960417,7.707314423,7.907326887,0.200012463,7.798118199,312.1,333.73,21.63,324.8141667,1.992,29.458,27.466,15.65108125,D,35.49072439,92.6133828,57.12265841
